Sample:float,Data:float,Data2:float
"0.0","1.6294505596160889","1.7495237588882446"
"1.0","1.740659236907959","1.7454943656921387"
"2.0","1.7640291452407837","1.7366299629211426"
"3.0","1.7745054960250854","1.722124457359314"
"4.0","1.7801463603973389","1.7140659093856812"
"5.0","1.7825640439987183","1.7084248065948486"
"6.0","1.7841756343841553","1.7060072422027588"
"7.0","1.784981608390808","1.7043955326080322"
"8.0","1.7890108823776245","1.7052013874053955"
"9.0","1.7922343015670776","1.7052013874053955"
"10.0","1.7954578399658203","1.7100366353988647"
"11.0","1.7978754043579102","1.7108423709869385"
"12.0","1.815604329109192","1.7043955326080322"
"13.0","1.8542855978012085","1.6850547790527344"
"14.0","1.8961904048919678","1.682637333869934"
"15.0","1.9002196788787842","1.7116482257843018"
"16.0","1.8542855978012085","1.7487179040908813"
"17.0","1.8083515167236328","1.7793406248092651"
"18.0","1.7648351192474365","1.8147984743118286"
"19.0","1.7180951833724976","1.8534797430038452"
"20.0","1.6431500911712646","1.875238060951233"
"21.0","1.6020512580871582","1.8349449634552002"
"22.0","1.6342856884002686","1.7326006889343262"
"23.0","1.7430768013000488","1.6407325267791748"
"24.0","1.8462270498275757","1.6326738595962524"
"25.0","1.8873260021209717","1.7172893285751343"
"26.0","1.8115750551223755","1.8615384101867676"
"27.0","1.6487910747528076","1.9260072708129883"
"28.0","1.5939925909042358","1.7922343015670776"
"29.0","1.768864393234253","1.5947984457015991"
"30.0","1.9389009475708008","1.6358973979949951"
"31.0","1.8147984743118286","1.8881317377090454"
"32.0","1.5698167085647583","1.9066665172576904"
"33.0","1.6987545490264893","1.6036629676818848"
"34.0","1.9783881902694702","1.6060805320739746"
"35.0","1.7696702480316162","1.9332599639892578"
"36.0","1.5617581605911255","1.8010988235473633"
"37.0","1.9235897064208984","1.5093772411346436"
"38.0","1.8550915718078613","1.919560432434082"
"39.0","1.4747252464294434","1.847032904624939"
"40.0","1.9945054054260254","1.461025595664978"
"41.0","1.72615385055542","2.0509157180786133"
"42.0","1.584322214126587","1.6076922416687012"
"43.0","2.0775089263916016","1.709230661392212"
"44.0","1.4078388214111328","1.9630768299102783"
"45.0","2.078315019607544","1.4376555681228638"
"46.0","1.5005128383636475","2.1226372718811035"
"47.0","1.9598534107208252","1.3627104759216309"
"48.0","1.6076922416687012","2.158094882965088"
"49.0","1.9066665172576904","1.326446771621704"
"50.0","1.3320878744125366","2.2757508754730225"
"51.0","2.3265199661254883","1.1193405389785767"
"52.0","1.1596335172653198","2.4377288818359375"
"53.0","2.305567502975464","1.0194138288497925"
"54.0","1.3747984170913696","2.5110621452331543"
"55.0","1.841391921043396","1.0838826894760132"
"56.0","2.0380218029022217","2.149230480194092"
"57.0","1.1660805940628052","1.8180218935012817"
"58.0","2.3184614181518555","1.2539193630218506"
"59.0","1.638314962387085","2.2983148097991943"
"60.0","1.3852746486663818","1.6221977472305298"
"61.0","2.251574993133545","1.3933331966400146"
"62.0","1.6423442363739014","2.2193405628204346"
"63.0","1.4102563858032227","1.662490725517273"
"64.0","2.1766297817230225","1.3675457239151"
"65.0","1.8035163879394531","2.118607997894287"
"66.0","1.3296703100204468","1.899413824081421"
"67.0","1.9558241367340088","1.3240292072296143"
"68.0","2.0912086963653564","1.8107692003250122"
"69.0","1.453772783279419","2.155677556991577"
"70.0","1.5109889507293701","1.5988277196884155"
"71.0","2.089596748352051","1.382857084274292"
"72.0","1.9896701574325562","1.9171427488327026"
"73.0","1.4561904668807983","2.12666654586792"
"74.0","1.4900364875793457","1.666520118713379"
"75.0","1.9687178134918213","1.382857084274292"
"76.0","2.101684808731079","1.6834430694580078"
"77.0","1.7471061944961548","2.0549449920654297"
"78.0","1.4505493640899658","2.0090107917785645"
"79.0","1.5528937578201294","1.6721611022949219"
"80.0","1.8446152210235596","1.47633695602417"
"81.0","2.0122342109680176","1.560146450996399"
"82.0","1.9558241367340088","1.7761170864105225"
"83.0","1.7785347700119019","1.936483383178711"
"84.0","1.6294505596160889","1.959047555923462"
"85.0","1.5827105045318604","1.8720145225524902"
"86.0","1.6205859184265137","1.750329613685608"
"87.0","1.7124541997909546","1.6576555967330933"
"88.0","1.796263575553894","1.6213918924331665"
"89.0","1.8389743566513062","1.6358973979949951"
"90.0","1.852673888206482","1.6681318283081055"
"91.0","1.8486446142196655","1.7108423709869385"
"92.0","1.8349449634552002","1.7575823068618774"
"93.0","1.7994871139526367","1.8027105331420898"
"94.0","1.772087812423706","1.8115750551223755"
"95.0","1.7696702480316162","1.7906227111816406"
"96.0","1.766446828842163","1.781758189201355"
"97.0","1.753553032875061","1.7833698987960815"
"98.0","1.750329613685608","1.7793406248092651"
"99.0","1.7583882808685303","1.7704761028289795"
"100.0","1.7648351192474365","1.76322340965271"
"101.0","1.751941204071045","1.7656409740447998"
"102.0","1.7197067737579346","1.7745054960250854"
"103.0","1.6898900270462036","1.772087812423706"
"104.0","1.6834430694580078","1.7656409740447998"
"105.0","1.7052013874053955","1.7583882808685303"
"106.0","1.7374358177185059","1.7527471780776978"
"107.0","1.7624175548553467","1.751941204071045"
"108.0","1.7608058452606201","1.7551647424697876"
"109.0","1.740659236907959","1.7551647424697876"
"110.0","1.722124457359314","1.7567764520645142"
"111.0","1.7132599353790283","1.7567764520645142"
"112.0","1.7156774997711182","1.7559705972671509"
"113.0","1.72615385055542","1.7567764520645142"
"114.0","1.72615385055542","1.759194016456604"
"115.0","1.7140659093856812","1.7640291452407837"
"116.0","1.701172113418579","1.768864393234253"
"117.0","1.6955310106277466","1.7728936672210693"
"118.0","1.699560284614563","1.7736995220184326"
"119.0","1.7156774997711182","1.768864393234253"
"120.0","1.7317947149276733","1.7640291452407837"
"121.0","1.7543588876724243","1.7567764520645142"
"122.0","1.7745054960250854","1.744688630104065"
"123.0","1.7914284467697144","1.7326006889343262"
"124.0","1.7970695495605469","1.72615385055542"
"125.0","1.7930402755737305","1.72615385055542"
"126.0","1.7801463603973389","1.7366299629211426"
"127.0","1.7608058452606201","1.7511354684829712"
"128.0","1.7495237588882446","1.766446828842163"
"129.0","1.7430768013000488","1.7745054960250854"
"130.0","1.7414650917053223","1.7753112316131592"
"131.0","1.740659236907959","1.7769230604171753"
"132.0","1.7390475273132324","1.7793406248092651"
"133.0","1.7366299629211426","1.7825640439987183"
"134.0","1.7342123985290527","1.7841756343841553"
"135.0","1.7366299629211426","1.7857874631881714"
"136.0","1.7382416725158691","1.7857874631881714"
"137.0","1.7414650917053223","1.7825640439987183"
"138.0","1.7463003396987915","1.7785347700119019"
"139.0","1.750329613685608","1.7736995220184326"
"140.0","1.7527471780776978","1.7672526836395264"
"141.0","1.7559705972671509","1.7608058452606201"
"142.0","1.759194016456604","1.7559705972671509"
"143.0","1.7616115808486938","1.7511354684829712"
"144.0","1.7648351192474365","1.744688630104065"
"145.0","1.7672526836395264","1.7382416725158691"
"146.0","1.7704761028289795","1.7326006889343262"
"147.0","1.7704761028289795","1.7293771505355835"
"148.0","1.772087812423706","1.725347876548767"
"149.0","1.772087812423706","1.7269595861434937"
"150.0","1.7712819576263428","1.7245420217514038"
"151.0","1.7728936672210693","1.7245420217514038"
"152.0","1.772087812423706","1.7237361669540405"
"153.0","1.7728936672210693","1.7245420217514038"
"154.0","1.7712819576263428","1.7237361669540405"
"155.0","1.772087812423706","1.7237361669540405"
"156.0","1.7712819576263428","1.7245420217514038"
"157.0","1.7696702480316162","1.725347876548767"
"158.0","1.768864393234253","1.725347876548767"
"159.0","1.7704761028289795","1.7245420217514038"
"160.0","1.7704761028289795","1.7245420217514038"
"161.0","1.7745054960250854","1.7197067737579346"
"162.0","1.7728936672210693","1.7229303121566772"
"163.0","1.7728936672210693","1.7237361669540405"
"164.0","1.7736995220184326","1.725347876548767"
"165.0","1.7745054960250854","1.7205127477645874"
"166.0","1.7745054960250854","1.7189010381698608"
"167.0","1.7745054960250854","1.716483473777771"
"168.0","1.7745054960250854","1.7172893285751343"
"169.0","1.7753112316131592","1.7180951833724976"
"170.0","1.7753112316131592","1.7172893285751343"
"171.0","1.777728796005249","1.716483473777771"
"172.0","1.7785347700119019","1.7140659093856812"
"173.0","1.7801463603973389","1.7124541997909546"
"174.0","1.7793406248092651","1.7140659093856812"
"175.0","1.7785347700119019","1.7180951833724976"
"176.0","1.777728796005249","1.7172893285751343"
"177.0","1.777728796005249","1.7172893285751343"
"178.0","1.7785347700119019","1.7156774997711182"
"179.0","1.7793406248092651","1.7148717641830444"
"180.0","1.7785347700119019","1.716483473777771"
"181.0","1.7769230604171753","1.7180951833724976"
"182.0","1.777728796005249","1.7180951833724976"
"183.0","1.7785347700119019","1.7189010381698608"
"184.0","1.7793406248092651","1.7197067737579346"
"185.0","1.7793406248092651","1.7197067737579346"
"186.0","1.777728796005249","1.7205127477645874"
"187.0","1.7769230604171753","1.722124457359314"
